경로	HTTP메서드	구 컨트롤러:라인	구 판정	구 근거(SecurityConfig.kt)	booster 판정	booster 근거	판정 일치여부	실측 요청경로	구 실측(무토큰)	구 실측(유효토큰 헤더)	booster 실측(무토큰)	booster 실측(유효토큰 헤더)	booster 수정전(유효토큰 헤더)	booster 토큰 출처	실측 대조
/api/v1/admin/stores/{storeId}/communities/{communityId}/keywords/{keywordId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/admin/controller/AdminController.kt:156	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/admin/stores/1/communities/1/keywords/1	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/airtable/saveThread	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:21	PERMIT_ALL	POST /api/v1/airtable/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/airtable/saveThread	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/airtable/saveThreadComment	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:26	PERMIT_ALL	POST /api/v1/airtable/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/airtable/saveThreadComment	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/airtable/saveThreadReply	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/airtable/controller/AirtableController.kt:31	PERMIT_ALL	POST /api/v1/airtable/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/airtable/saveThreadReply	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/app-user-channel-account/list	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:31	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-channel-account/list	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-user-channel-account/login	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:45	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-channel-account/login	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-user-channel-account/login/kakao/sms	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:67	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-channel-account/login/kakao/sms	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-user-channel-account/relogin	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserChannelAccount/controller/AppUserChannelAccountController.kt:90	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-channel-account/relogin	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-user-store/list	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:41	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-store/list	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-user-store/match	PATCH	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUserStore/controller/AppUserStoreController.kt:56	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-user-store/match	401	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 일치 · 유효토큰 신404(게이트 통과) — 수정 전 401, 이 행이 CRITICAL 회귀분
/api/v1/app-users/me	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/http/appUser/controller/AppUserController.kt:36	AUTHENTICATED	anyRequest().authenticated()	AUTHENTICATED	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/app-users/me	401	200	401	404	401	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	무토큰 구401=신401 · 유효토큰 구200/신404(게이트 통과, 핸들러는 P1~P4) — 수정 전 401
/api/v1/auth/login	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:27	PERMIT_ALL	POST /api/v1/auth/login	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/auth/login	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/auth/sign-up	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/auth/api/controller/AuthController.kt:20	PERMIT_ALL	POST /api/v1/auth/sign-up	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/auth/sign-up	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/customers/{customerId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:249	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/customers/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/gifts	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:159	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/gifts	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/message-templates	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:19	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/message-templates	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/messages/{messageId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:93	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/messages/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:60	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:187	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/gifts	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	DELETE	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:216	PERMIT_ALL	DELETE /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/gifts/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:201	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/gifts/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/gifts/{giftId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:172	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/gifts/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:47	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/message-templates	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/message-templates/{messageTemplateId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:32	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/message-templates/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	GET	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:75	PERMIT_ALL	GET /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/messages	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:109	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/messages	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/without-notification	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:125	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/messages/without-notification	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:142	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/messages/1/posts	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
/api/v1/boost1/organizations/{organizationId}/teams/{teamId}/messages/{messageId}/posts/{postId}/customers/{customerId}/gifts/{giftId}	POST	module-core/core-api/src/main/kotlin/legalcare/medilawyer/apis/reviewBoost/BoostController.kt:231	PERMIT_ALL	POST /api/v1/boost1/**	PERMIT_ALL	LegacyPathAuthPolicy (구 SecurityConfig.kt 규칙표 1:1)	일치	/api/v1/boost1/organizations/1/teams/1/messages/1/posts/1/customers/1/gifts/1	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	미실측: 구는 컨트롤러가 실행된다(외부 실호출 0건 — 불변조건5)	404	404	404	LegacyHeaderTokenExtractor (Authorization 헤더 — 구 JwtAuthenticationFilter.kt:39 와 동일)	신 전수실측 무토큰404·유효토큰404(둘 다 비401 = 게이트 통과). 구는 미실측(10·11열 사유)
